task_id,class,model,rounds,tokens_total,outcome,date
001,patterned,claude-opus-5,1,60000,done,2026-09-11
002,open,claude-opus-5,3,150000,done,2026-09-11
012,patterned,claude-opus-5,2,120000,done,2026-09-11
008,patterned,claude-opus-5,1,150000,done,2026-09-11
006,open,claude-opus-5,1,130000,done,2026-09-11
005,open,claude-opus-5,1,90000,done,2026-09-11
007,open,claude-opus-5,1,80000,done,2026-09-11
015,open,claude-opus-5,2,90000,done,2026-09-11
016,open,claude-opus-5,1,90000,done,2026-09-11
004,patterned,claude-opus-5,2,90000,done,2026-09-11
011,open,claude-opus-5,2,60000,done,2026-09-11
009,open,claude-opus-5,2,150000,done,2026-09-11
018,mechanical,claude-opus-5,2,80000,done,2026-09-11
019,open,claude-opus-5,2,150000,done,2026-09-11
020,open,claude-opus-5,1,110000,done,2026-09-11
010,patterned,claude-opus-5,1,70000,done,2026-09-11
021,open,claude-opus-5,1,90000,done,2026-09-11
022,open,claude-opus-5,1,110000,done,2026-09-11
017,open,claude-opus-5,1,50000,done,2026-09-11
013,mechanical,claude-opus-5,7,90000,done,2026-09-11
024,open,claude-opus-5,9,130000,done,2026-09-11
003,patterned,claude-opus-5,7,110000,done,2026-09-11
029,patterned,claude-opus-5,6,90000,done,2026-09-11
